Input,Filtered
-140.0,-136.571
-140.0,-105.905
-371.0,-92.333
-371.0,-103.524
-710.0,-130.857
-966.0,-149.286
-966.0,-156.429
-927.0,-161.714
-927.0,-175.476
-716.0,-179.19
-460.0,-179.429
-460.0,-191.238
-123.0,-187.0
-123.0,-197.762
-754.0,-238.571
-754.0,-310.809
-484.0,-374.619
-484.0,-438.429
-164.0,-462.857
631.0,-449.429
631.0,-418.0
1163.0,-355.952
1163.0,-293.905
600.0,-247.667
13.0,-229.381
13.0,-194.952
10.0,-148.476
10.0,-102.0
33.0,-56.286
33.0,-10.571
-267.0,10.81
-823.0,-6.476
-823.0,-23.762
-906.0,-61.048
-906.0,-98.333
-739.0,-97.619
-660.0,-93.143
-660.0,-101.524
-465.0,-100.619
-465.0,-114.952
-78.0,-148.714
682.0,-146.286
682.0,-169.19
688.0,-191.81
688.0,-187.619
119.0,-182.571
-296.0,-197.286
89.0,-193.524
89.0,-189.762
623.0,-161.667
476.0,-140.571
476.0,-105.19
84.0,-62.0
84.0,-18.809
-91.0,20.0
-69.0,59.857
-69.0,91.762
-149.0,116.095
-149.0,140.429
-484.0,139.524
-698.0,128.429
-698.0,98.905
-736.0,31.381
-736.0,-36.143
-758.0,-105.0
-662.0,-169.286
-662.0,-206.476
-410.0,-211.905
-410.0,-235.667
27.0,-238.619
27.0,-267.0
477.0,-266.952
232.0,-278.571
232.0,-271.524
-56.0,-278.19
-56.0,-276.524
-152.0,-280.476
-159.0,-284.762
-271.0,-290.571
-271.0,-296.381
-284.0,-286.857
-269.0,-266.428
-269.0,-246.0
-221.0,-221.476
-221.0,-196.952
-125.0,-166.81
-125.0,-141.238
-83.0,-113.667
-144.0,-101.0
-144.0,-88.333
-173.0,-97.857
-173.0,-107.381
-200.0,-139.619
-239.0,-162.048
-239.0,-184.476
-192.0,-190.952
-192.0,-197.429
-181.0,-198.81
-133.0,-197.571
-133.0,-191.0
-56.0,-180.762
-56.0,-169.905
26.0,-155.857
59.0,-140.238
59.0,-126.905
-21.0,-117.381
-21.0,-112.429
-93.0,-110.905
-116.0,-112.476
-116.0,-111.143
-795.0,-142.143
-741.0,-169.19
-673.0,-193.0
-673.0,-215.524
-390.0,-222.714
-390.0,-229.905
-194.0,-230.0
-105.0,-225.857
-105.0,-222.238
-169.0,-223.952
-169.0,-225.667
-277.0,-236.19
-391.0,-252.143
-391.0,-272.0
-525.0,-299.81
-525.0,-327.619
-469.0,-348.952
-464.0,-370.048
-464.0,-387.714
-537.0,-407.762
-537.0,-427.81
-635.0,-420.191
